explainability_type,target_variable,feature_name,spearman_correlation,abs_spearman_correlation,interpretation,source
State-feature Spearman correlation,dt_base_resilience,dt_high_pressure_flag,-0.2834460099246768,0.2834460099246768,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_delay_service_graph,-0.2602553578007115,0.2602553578007115,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_delivery_pressure,-0.2522663419245064,0.2522663419245064,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_risk_delay_pressure,-0.22156223407138192,0.22156223407138192,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_entity_graph_risk,-0.2147965322761192,0.2147965322761192,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_low_pressure_flag,0.20422731550076023,0.20422731550076023,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_status_pressure,-0.1426220523450979,0.1426220523450979,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_value_pressure,0.1241178980245308,0.1241178980245308,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_base_delay,-0.10181395424832562,0.10181395424832562,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_order_complexity,-0.08954994253048178,0.08954994253048178,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_route_pressure,-0.04124700110637146,0.04124700110637146,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_profit_proxy,-0.020748700254670654,0.020748700254670654,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_resilience,dt_payment_pressure,-0.013367435382083313,0.013367435382083313,very_weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_state_pressure_index,0.9653228307468272,0.9653228307468272,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_risk_delay_pressure,0.9110379014558924,0.9110379014558924,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_base_service,-0.8443320670450934,0.8443320670450934,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_service_gap,0.8443320670249914,0.8443320670249914,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_profit_proxy,-0.8114939460625022,0.8114939460625022,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_high_pressure_flag,0.800256193025834,0.800256193025834,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_service_pressure,0.7949747318605778,0.7949747318605778,strong_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_low_pressure_flag,-0.7743830076946736,0.7743830076946736,strong_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_base_delay,0.6378716762802118,0.6378716762802118,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_resilience_pressure,0.5412448665242166,0.5412448665242166,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_entity_graph_risk,0.44990497631800647,0.44990497631800647,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_delivery_pressure,0.4383970906852459,0.4383970906852459,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_cost_graph_pressure,0.4136138049329813,0.4136138049329813,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_freight_pressure,0.40944275077825626,0.40944275077825626,moderate_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_base_cost,0.3989840568420382,0.3989840568420382,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_delay_service_graph,0.34780077967903394,0.34780077967903394,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_distance_pressure,0.3358539752499083,0.3358539752499083,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_demand_pressure,0.3107522782785869,0.3107522782785869,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_base_resilience,-0.29281816729602295,0.29281816729602295,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_resilience_gap,0.29281816729602295,0.29281816729602295,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_status_pressure,0.25134660602261616,0.25134660602261616,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_seller_pressure,0.2474026916137511,0.2474026916137511,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_route_pressure,0.21858598732321882,0.21858598732321882,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_structural_exposure,-0.20986482048359936,0.20986482048359936,weak_negative,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_coordination_opportunity,0.20733459634280185,0.20733459634280185,weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_cost_sensitivity,0.1700882319584685,0.1700882319584685,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_order_complexity,0.1336762666933956,0.1336762666933956,very_weak_positive,Step 20 actual digital-twin state dataset
State-feature Spearman correlation,dt_base_risk,dt_graph_context,0.11943296690683144,0.11943296690683144,very_weak_positive,Step 20 actual digital-twin state dataset
