alpha,w_low,w_moderate,w_high,valid_accuracy,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
0.85,1.2,1.35,1.2,0.6483122830341975,0.6398573477381571,0.6476140550873639,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,1.0,0.9,0.6458379496270035,0.6398484149251451,0.6450770967352325,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.2,1.0,0.6461333924218923,0.6398184499183176,0.6455743357667516,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.2,0.9,0.6424034271364207,0.6398151433120521,0.6421304429045666,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.2,1.35,1.1,0.6471674422040032,0.6397864518815303,0.6466986478869772,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.8,0.9,0.8,0.6482384223354752,0.6397732339184639,0.6475436942834174,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.2,1.35,1.2,0.6482384223354752,0.6397732339184639,0.6475436942834174,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.1,0.9,0.6452470640372258,0.6397690060186828,0.6447685333757254,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.35,0.9,0.6435113376172539,0.6397588496597543,0.6434353363741044,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.2,0.9,0.6470197208065588,0.6397293834889859,0.64673748646821,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.35,1.0,0.6418864022453652,0.6397191786736142,0.6416403377631341,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.2,1.0,0.6439914321589483,0.6397169953475909,0.6434068858269183,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.35,1.2,0.6438067804121427,0.6397127279785176,0.6430630381940997,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.0,1.35,1.2,0.6445084570500037,0.6397018217880607,0.643688714324134,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.8,1.0,0.8,0.6444715267006426,0.6396951924863682,0.6440467616082308,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.1,0.8,0.6466134869635867,0.6396916621179036,0.6463853880078421,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.2,1.0,0.6483492133835586,0.6396273753066315,0.6477987281794254,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.2,1.1,0.6493463328163085,0.6396212747093522,0.6485679687119924,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.2,1.35,1.1,0.6472413029027254,0.6396205899954576,0.6467346521678569,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.1,1.2,0.9,0.6467981387103922,0.6395763601821146,0.6465122077610836,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.35,1.1,0.6424034271364207,0.6395636009896055,0.6419291236071429,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.0,1.1,1.0,0.6496048452618362,0.6395448017526902,0.6487718693451071,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.2,1.0,0.6456163675308368,0.6395418572385112,0.6450929382191845,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.8,0.9,0.8,0.6485707954797253,0.6395403130576574,0.6478019873573726,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,1.2,1.35,1.2,0.6485707954797253,0.6395403130576574,0.6478019873573726,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.1,0.8,0.6462811138193367,0.6394728820315577,0.6460531311465371,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.2,0.9,0.6418864022453652,0.6394623231065336,0.641604706224067,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.0,1.35,1.1,0.642883521678115,0.6394354829061947,0.6423524467399503,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.0,0.9,0.6483861437329197,0.6394340184342913,0.6476589183286633,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.2,0.8,0.6436221286653372,0.63940442823268,0.6435389647113547,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.35,1.0,0.6414063077036709,0.6393984876683193,0.6411550646122757,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.35,1.1,0.642514218184504,0.639396017288855,0.6420250814063226,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.35,0.8,0.6424772878351429,0.6393811958684045,0.6425766908561217,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,0.9,1.2,0.8,0.6412585863062265,0.6393802734374522,0.6411868374323167,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,0.9,1.2,0.8,0.6410370042100598,0.639364530427173,0.6409668960600574,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.9,1.2,0.8,0.6415170987517542,0.6393536429839447,0.641447090967663,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,1.0,1.0,0.6474998153482532,0.6392985068652379,0.6463692978063715,XGBoost-RGC,XGBoost,RGC-StrictContext
0.5,0.9,1.0,0.9,0.6488662382746141,0.6392898899056684,0.6480605907675713,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,0.8,1.1,1.0,0.6433266858704484,0.6392846510605088,0.6424778509722585,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.1,1.0,0.6486815865278086,0.6392841482896429,0.6479254302371379,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.35,0.9,0.6408523524632543,0.6392791144081279,0.6407860784285356,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.35,0.9,0.6406307703670877,0.6392585332155144,0.6405608215421567,XGBoost-RGC,XGBoost,RGC-StrictContext
0.7,1.1,1.35,1.35,0.647758327793781,0.6392421581314839,0.6466399662304988,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.1,1.2,1.0,0.6477213974444198,0.6392418880363419,0.6471991596247174,XGBoost-RGC,XGBoost,RGC-StrictContext
1.0,1.0,1.1,1.0,0.6485338651303642,0.6392106432351207,0.6477772324098848,XGBoost-RGC,XGBoost,RGC-StrictContext
0.85,1.0,1.1,0.9,0.6472782332520866,0.6392105634191713,0.646794432498855,XGBoost-RGC,XGBoost,RGC-StrictContext
