alpha,w_low,w_moderate,w_high,valid_f1_macro,valid_balanced_accuracy,proposed_model,base_algorithm,candidate_feature_set
1.0,1.3,1.3,0.85,0.993620017364179,0.9936507818186561,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.15,1.0,0.993618985189647,0.9936418362645854,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.3,1.5,1.3,0.993618985189647,0.9936418362645854,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,0.85,1.0,0.85,0.9936189467380916,0.9936426790016698,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.3,1.3,0.993618726654471,0.9936366721170202,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,0.7,0.85,0.85,0.9936183672772158,0.9936361750652009,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.3,1.3,1.0,0.9936174199081952,0.9936422467227538,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.5,1.15,0.9936174199081952,0.9936422467227538,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.85,0.7,0.9936172060867178,0.9936407773880432,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.5,1.5,1.15,0.9936171929535633,0.9936440617427293,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.0,0.85,0.9936169921513686,0.9936393080533326,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.5,1.5,1.3,0.9936169921513686,0.9936393080533326,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.0,0.85,0.9936163365892533,0.993638184403887,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.15,1.0,0.7,0.9936162201727651,0.9936432190056451,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.5,1.3,1.0,0.9936155715055621,0.9936388110015132,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.7,1.0,1.15,1.5,0.9936147360142837,0.9936124495703732,XGBoost-RGC,XGBoost,RGC-RiskIndicator
1.0,1.0,0.85,0.85,0.9936146043513973,0.9936297140808882,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,0.85,0.85,1.0,0.9936142006217167,0.9936202067020946,XGBoost-RGC,XGBoost,RGC-RiskIndicator
0.85,1.0,1.0,1.15,0.9936142006217167,0.9936202067020946,XGBoost-RGC,XGBoost,RGC-RiskIndicator
