feature,dtype,feature_group,used_in
rgc_safe_graph_shipping_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_node_risk,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_graph_risk_signal,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_order_item_discount_rate,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_order_item_quantity,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_sales,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_order_item_total,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_product_price,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_sales_per_unit,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_qty_roll_std_7,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_qty_roll_mean_7,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_profit_roll_std_7,float64,rgc_graph_feature,proposed_rgc_models
rgc_resilience_gap_signal,float64,rgc_graph_feature,proposed_rgc_models
rgc_centrality_pressure_signal,float64,rgc_graph_feature,proposed_rgc_models
rgc_graph_risk_rank,float64,rgc_graph_feature,proposed_rgc_models
