local_case_type,dt_row_id,risk_intensity,service_intensity,resilience_need,cost_sensitivity,dt_base_risk,dt_base_delay_prob,dt_context_signal,reward_delta,risk_reduction,delay_reduction,service_delta,resilience_delta,profit_delta,cost_delta,explanation_text
highest_risk_reduction,164756,0.8575144175716838,0.8812532463377086,0.8832812761205142,0.5294980916113277,0.8314734084156572,1.0,0.7793716676440191,0.7571571231942287,0.09421718465505435,0.20397945925825134,0.26533427343649074,0.21873377435211794,-162.34021461753832,1.553254591705013,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7572, reduced risk by 0.0942, and reduced delay by 0.2040 versus risk-avoidance baseline."
highest_risk_reduction,164352,0.8642104513390957,0.9422986099541064,0.8123006465488168,0.3730212997816395,0.7538864250652417,1.0,0.7828711117371395,0.8205270584369725,0.08936235408833848,0.21823711371718935,0.27171148141517754,0.21951919023001243,-78.72892119938996,2.4303184009875167,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.8205, reduced risk by 0.0894, and reduced delay by 0.2182 versus risk-avoidance baseline."
highest_risk_reduction,167521,0.8311231904867911,0.8629522909738793,0.8489211329318973,0.5718028525084378,0.8074987094561629,1.0,0.7140449151132175,0.730869997977653,0.08761651186861336,0.20088396295716626,0.25965936376590526,0.21206931889899727,-141.86457423526485,0.9991207155786128,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7309, reduced risk by 0.0876, and reduced delay by 0.2009 versus risk-avoidance baseline."
highest_risk_reduction,153920,0.8525210698618044,0.9246954819719605,0.8909297799845677,0.6760602843158265,0.7561433244788672,1.0,0.7583884757308071,0.8833699411915885,0.08747701994193613,0.21454852715572748,0.2682934979336895,0.2166447949308885,-233.31349454902767,0.09470222860954891,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.8834, reduced risk by 0.0875, and reduced delay by 0.2145 versus risk-avoidance baseline."
highest_risk_reduction,156284,0.8432678017777562,0.8764173393352662,0.860219121872293,0.5249086660010751,0.7882656642017731,1.0,0.7852239407711862,0.7246815786850821,0.08731494452259952,0.20311533833573447,0.2608649609234823,0.2130112731805457,-136.28239018197496,1.391007369895135,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7247, reduced risk by 0.0873, and reduced delay by 0.2031 versus risk-avoidance baseline."
highest_risk_reduction,155212,0.8616474604742319,0.9399427219533493,0.8084578769079219,0.5219436330819879,0.7388690954801571,1.0,0.801804452751708,0.7889199304518337,0.0870680966052566,0.21755862506364776,0.2699718695746043,0.21762017888087648,-73.23743636011076,0.449504128007959,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7889, reduced risk by 0.0871, and reduced delay by 0.2176 versus risk-avoidance baseline."
highest_delay_reduction,153526,0.8608605058847391,0.9423289687025327,0.8866099136534261,0.5554234639443273,0.7379357726007594,1.0,0.7915097633353368,0.7657444079148205,0.08704446516588993,0.2182416189554558,0.2703994202015354,0.21775100325205554,-176.73253524378623,1.2155452266219982,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7657, reduced risk by 0.0870, and reduced delay by 0.2182 versus risk-avoidance baseline."
highest_delay_reduction,161496,0.8556134434272846,0.9399728303610507,0.7359190453379789,0.3792368806524429,0.7292851733374025,1.0,0.7819020187190324,1.1394268379437251,0.08536283174467257,0.21789196802557986,0.26922403178868937,0.21623078929202721,15.87830625057786,1.1242256685434882,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.1394, reduced risk by 0.0854, and reduced delay by 0.2179 versus risk-avoidance baseline."
highest_delay_reduction,165919,0.8443045925236374,0.9374322279087105,0.7311304807260774,0.3815773461093802,0.6933982916430717,1.0,0.7856215556874708,1.1194533357400995,0.07980725438521302,0.2175149426216526,0.2658100219340296,0.21169349489674172,15.72898589690124,1.1242256685434882,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 1.1195, reduced risk by 0.0798, and reduced delay by 0.2175 versus risk-avoidance baseline."
highest_delay_reduction,157378,0.8442871205186285,0.9372277528407447,0.8054928359088211,0.3978965945824671,0.6947055867585952,1.0,0.783696754252942,0.7849285944673614,0.0799556211772478,0.21748459852156643,0.2658759962082893,0.21178811940540598,-80.39126381980392,2.1705379400880247,"Decision explained by high graph-risk intensity, high service pressure, elevated delay probability, high resilience need. Proposed CMARL changed reward by 0.7849, reduced risk by 0.0800, and reduced delay by 0.2175 versus risk-avoidance baseline."
