policy_name,policy_group,split,scenario,coordinated_action,rows,mean_reward,total_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_cost,mean_profit_proxy,dominant_action,dominant_action_percent,action_entropy,unique_actions_used
balanced_policy,Baseline,valid,normal,0,16897,7.019675427581307,118611.45569984135,0.7272677539033789,0.14136605627558896,0.16182143996786894,0.9192004559157076,0.7701715357654847,0.3603461349686968,0.767890721502879,balanced_fulfillment,100.0,0.0,1
logistics_priority_policy,Baseline,valid,normal,0,16897,7.322978954299529,123736.37539079915,0.5957038558950764,0.12955645117075953,0.07434970133192312,0.9491305967805935,0.7980167694519162,0.4155114167914213,0.8224320488847873,accelerated_logistics,100.0,0.0,1
seller_risk_avoidance_policy,Baseline,valid,normal,0,16897,7.437497001532894,125671.38683490132,0.6059755323608996,0.0684483677438278,0.1411593531037699,0.9192004559157076,0.8966453581626859,0.42171230601233584,0.8200549013950835,seller_risk_avoidance,100.0,0.0,1
service_priority_policy,Baseline,valid,normal,0,16897,7.369251696420737,124518.2459144212,0.5618464549953321,0.1065368475897162,0.15970560694791908,0.9748704727259975,0.8492204860802209,0.4255383782604486,0.8577013667847275,service_recovery_priority,100.0,0.0,1
rule_based_policy,Baseline,valid,normal,0,16897,7.157636219779936,120942.57920562157,0.5515942287932699,0.12315792567927522,0.16039222581543874,0.9476623718527456,0.7911008450287905,0.3737868370637982,0.7832923651918022,balanced_fulfillment,72.01278333431969,0.8721690863224514,5
q_table_policy,Baseline,valid,normal,0,16897,7.435862812628848,125643.77394498965,0.6082379582495775,0.07025981489758532,0.141941908736179,0.9224032982751859,0.8954206253602365,0.42180814985031506,0.8201567303765922,seller_risk_avoidance,98.19494584837545,0.09928365701626893,4
random_policy,Baseline,test,normal,0,16898,7.173705743458916,121221.27965296876,0.7436527223697907,0.12211886550187742,0.14429135741103621,0.9248667271833975,0.8007454832702388,0.38980097957937904,0.8105017825920418,accelerated_logistics,20.363356610249735,1.6093362410406957,5
cost_priority_policy,Baseline,test,normal,0,16898,6.540422012786017,110520.05117205811,0.9085938206555749,0.1790601916802846,0.20767436252338503,0.8342516135669132,0.6485009213228605,0.2828002391067735,0.7773286667098969,cost_priority_fulfillment,100.0,0.0,1
balanced_policy,Baseline,test,normal,0,16898,7.074713077553879,119548.50158450544,0.6936209631653621,0.1367004351917811,0.15548457311012176,0.9280747572555508,0.7818758836140915,0.37017002682290395,0.7697265452678336,balanced_fulfillment,100.0,0.0,1
logistics_priority_policy,Baseline,test,normal,0,16898,7.362347911301657,124408.9550051754,0.5707192453287686,0.12532802657553227,0.0719667522802645,0.9551211917939932,0.8094838067296537,0.42691781671351536,0.8243738058056485,accelerated_logistics,100.0,0.0,1
seller_risk_avoidance_policy,Baseline,test,normal,0,16898,7.478605240017239,126373.4713458113,0.5768813049458363,0.06661906809743375,0.135731377302558,0.9280747572555508,0.9057977227560815,0.4332720426269232,0.8218429237992173,seller_risk_avoidance,100.0,0.0,1
service_priority_policy,Baseline,test,normal,0,16898,7.4072332114443205,125167.42680698613,0.5357451538501472,0.10319727927869927,0.153494177408132,0.9777947340485125,0.8600189816521504,0.4368209552939634,0.860004696266482,service_recovery_priority,100.0,0.0,1
rule_based_policy,Baseline,test,normal,0,16898,7.180738484550876,121340.11891194069,0.5321394892309994,0.12250445076138462,0.15546466416791496,0.9519640590088366,0.7959604055296075,0.3794134650010649,0.7817932237762182,balanced_fulfillment,77.04462066516747,0.7709841705303496,5
q_table_policy,Baseline,test,normal,0,16898,7.47861161498946,126373.5790700919,0.5780106568072174,0.06801182957324617,0.13621495982851003,0.9308945942029012,0.9050882465040812,0.43344869695640853,0.8219533023625818,seller_risk_avoidance,98.64481003669073,0.07453475681995846,3
sthg_cmappo_pareto_policy,Proposed-CMARL,train,normal,1,78855,8.213992633421324,647714.3891084385,0.6143893943371604,0.08040728220711961,0.11376461758134486,0.9709732009094547,0.953690742573832,0.4100507361502703,0.8537139272368771,seller_risk_avoidance,50.620759622091185,1.2247437956962361,4
sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,train,normal,1,78855,8.244325252708386,650106.2678023197,0.6160961775132958,0.06869005933599019,0.11652316164622901,0.9639828319706775,0.963838450119341,0.41651158115727793,0.8608938520566081,seller_risk_avoidance,66.00215585568449,0.9198680942891491,4
