column_name,dtype,role,missing_count,unique_values
customer_geo_records,float64,geospatial_feature,0,483
seller_lat,float64,geospatial_feature,0,2239
seller_lng,float64,geospatial_feature,0,2239
seller_geo_records,float64,geospatial_feature,0,408
geo_distance_km,float64,geospatial_feature,0,93345
geo_distance_missing_flag,int64,geospatial_feature,0,2
order_purchase_date,datetime64[ns],date_or_time,0,616
purchase_year,int32,engineered_feature,0,3
purchase_month,int32,engineered_feature,0,12
purchase_day,int32,engineered_feature,0,31
purchase_dayofweek,int32,engineered_feature,0,7
purchase_hour,int32,engineered_feature,0,24
purchase_quarter,int32,engineered_feature,0,4
purchase_weekofyear,float64,engineered_feature,0,52
purchase_is_weekend,int64,engineered_feature,0,2
is_delivered_status,int64,outcome_derived,0,2
is_canceled_status,int64,outcome_derived,0,2
approved_missing_flag,int64,engineered_feature,0,2
carrier_date_missing_flag,int64,engineered_feature,0,2
customer_delivery_missing_flag,int64,customer_feature,0,2
approval_time_hours,float64,engineered_feature,0,33257
carrier_dispatch_days,float64,engineered_feature,0,87497
customer_delivery_days,float64,outcome_derived,0,93810
estimated_delivery_days,float64,engineered_feature,0,95956
delivery_delay_days,float64,outcome_derived,0,91916
shipping_limit_from_purchase_days,float64,engineered_feature,0,47617
shipping_limit_from_approval_days,float64,engineered_feature,0,11407
positive_delivery_delay_days,float64,outcome_derived,0,7755
non_delivered_flag,int64,outcome_derived,0,2
late_delivery_flag,int64,outcome_derived,0,2
early_delivery_days,float64,outcome_derived,0,84163
item_total_value,float64,cost_freight_feature,0,29149
freight_ratio,float64,cost_freight_feature,0,46719
payment_value_to_item_value_ratio,float64,payment_feature,0,5786
review_missing_flag,int64,engineered_feature,0,2
review_score_filled,float64,engineered_feature,0,11
low_review_flag,int64,outcome_derived,0,2
high_review_flag,int64,outcome_derived,0,2
product_volume_cm3,float64,product_feature,0,4526
product_weight_kg,float64,product_feature,0,2204
freight_per_kg,float64,cost_freight_feature,0,44925
freight_per_1000cm3,float64,cost_freight_feature,0,56515
same_seller_customer_state_flag,int64,seller_feature,0,2
seller_customer_route,object,categorical_context,0,417
seller_category_key,object,categorical_context,0,6616
customer_category_key,object,categorical_context,0,1394
order_item_count,int64,engineered_feature,0,17
order_seller_count,int64,seller_feature,0,5
order_category_count,int64,engineered_feature,0,3
seller_historical_late_rate,float64,historical_context_feature,0,18431
route_historical_late_rate,float64,historical_context_feature,0,77047
category_historical_late_rate,float64,historical_context_feature,0,75424
seller_historical_low_review_rate,float64,historical_context_feature,0,20546
seller_prior_order_item_count,int64,historical_context_feature,0,2033
product_prior_order_item_count,int64,historical_context_feature,0,527
category_prior_order_item_count,int64,historical_context_feature,0,11115
route_prior_order_item_count,int64,historical_context_feature,0,36192
category_daily_order_items,int64,engineered_feature,0,69
category_daily_unique_orders,int64,engineered_feature,0,62
category_daily_unique_sellers,int64,seller_feature,0,37
category_demand_roll_mean_7,float64,engineered_feature,0,323
category_demand_roll_std_7,float64,engineered_feature,0,8305
category_demand_roll_mean_14,float64,engineered_feature,0,610
category_demand_roll_std_14,float64,engineered_feature,0,10404
delivery_delay_component,float64,risk_component,0,6372
order_status_component,float64,risk_component,0,3
review_service_component,float64,risk_component,0,12
freight_cost_component,float64,risk_component,0,100177
seller_historical_delay_component,float64,risk_component,0,18431
route_historical_delay_component,float64,risk_component,0,77047
category_demand_volatility_component,float64,risk_component,0,107004
payment_complexity_component,float64,risk_component,0,50
dataset2_fulfillment_risk_score,float64,target_or_label,0,112650
risk_label,int64,target_or_label,0,3
risk_label_name,object,target_or_label,0,3
temporal_split,object,categorical_context,0,3
