state_bin,action_id,action_name,mean_q_value,mean_reward,count
r3|d2|c2,1,balanced_fulfillment,3.4323893699786376,7.2192069617773384,65
r3|d2|c2,2,accelerated_logistics,3.4321299071683393,7.256144453034353,305
r3|d2|c2,3,seller_risk_avoidance,3.5209402140371657,7.3796857313784985,270
r3|d2|c2,4,service_recovery_priority,3.5150199930807853,7.444112228854989,635
r3|d2|c3,0,cost_priority_fulfillment,2.796504943766611,5.839880774346819,10
r3|d2|c3,1,balanced_fulfillment,3.26062710515128,6.847107552687676,40
r3|d2|c3,2,accelerated_logistics,3.3072269128460494,6.998307019758997,30
r3|d2|c3,3,seller_risk_avoidance,3.6577720687189306,7.691014296777053,20
r3|d2|c3,4,service_recovery_priority,3.5601639760649184,7.528261647272523,70
r3|d3|c0,0,cost_priority_fulfillment,3.113001234824003,6.474917793897097,430
r3|d3|c0,1,balanced_fulfillment,3.3446647657874107,7.021840511203649,270
r3|d3|c0,2,accelerated_logistics,3.4735434781280654,7.332761794111627,445
r3|d3|c0,3,seller_risk_avoidance,3.5357344234146195,7.419223285067196,345
r3|d3|c0,4,service_recovery_priority,3.5045605797491906,7.418959737140846,480
r3|d3|c1,0,cost_priority_fulfillment,3.0968088390220947,6.445478058180046,1575
r3|d3|c1,1,balanced_fulfillment,3.303051341628672,6.9400933197083,920
r3|d3|c1,2,accelerated_logistics,3.4153509317587454,7.20935096675391,1740
r3|d3|c1,3,seller_risk_avoidance,3.5287299053713865,7.402293257016058,1540
r3|d3|c1,4,service_recovery_priority,3.5148402738420237,7.442984978641167,2640
r3|d3|c2,0,cost_priority_fulfillment,3.12427748822753,6.5007017600260735,1715
r3|d3|c2,1,balanced_fulfillment,3.339347046886654,7.013049585527425,1030
r3|d3|c2,2,accelerated_logistics,3.450686561509253,7.287978979246472,2175
r3|d3|c2,3,seller_risk_avoidance,3.49796328155548,7.3348431530822955,1360
r3|d3|c2,4,service_recovery_priority,3.501617772544195,7.412934333415504,3550
r3|d3|c3,0,cost_priority_fulfillment,3.0472349446769984,6.334633775778407,195
r3|d3|c3,1,balanced_fulfillment,3.2735666551096707,6.87440550653575,215
r3|d3|c3,2,accelerated_logistics,3.482700723547442,7.3506285318529345,305
r3|d3|c3,3,seller_risk_avoidance,3.5504152871318704,7.432827461466059,270
r3|d3|c3,4,service_recovery_priority,3.4779720090303714,7.364287089548921,710
