stage,column_name,dtype,missing_count,missing_percent,unique_values
after_final_fill,customer_delivery_missing_flag,int64,0,0.0,2
after_final_fill,approval_time_hours,float64,0,0.0,33257
after_final_fill,carrier_dispatch_days,float64,0,0.0,87497
after_final_fill,customer_delivery_days,float64,0,0.0,93810
after_final_fill,estimated_delivery_days,float64,0,0.0,95956
after_final_fill,delivery_delay_days,float64,0,0.0,91916
after_final_fill,shipping_limit_from_purchase_days,float64,0,0.0,47617
after_final_fill,shipping_limit_from_approval_days,float64,0,0.0,11407
after_final_fill,positive_delivery_delay_days,float64,0,0.0,7755
after_final_fill,non_delivered_flag,int64,0,0.0,2
after_final_fill,late_delivery_flag,int64,0,0.0,2
after_final_fill,early_delivery_days,float64,0,0.0,84163
after_final_fill,item_total_value,float64,0,0.0,29149
after_final_fill,freight_ratio,float64,0,0.0,46719
after_final_fill,payment_value_to_item_value_ratio,float64,0,0.0,5786
after_final_fill,review_missing_flag,int64,0,0.0,2
after_final_fill,review_score_filled,float64,0,0.0,11
after_final_fill,low_review_flag,int64,0,0.0,2
after_final_fill,high_review_flag,int64,0,0.0,2
after_final_fill,product_volume_cm3,float64,0,0.0,4526
after_final_fill,product_weight_kg,float64,0,0.0,2204
after_final_fill,freight_per_kg,float64,0,0.0,44925
after_final_fill,freight_per_1000cm3,float64,0,0.0,56515
after_final_fill,same_seller_customer_state_flag,int64,0,0.0,2
after_final_fill,seller_customer_route,object,0,0.0,417
after_final_fill,seller_category_key,object,0,0.0,6616
after_final_fill,customer_category_key,object,0,0.0,1394
after_final_fill,order_item_count,int64,0,0.0,17
after_final_fill,order_seller_count,int64,0,0.0,5
after_final_fill,order_category_count,int64,0,0.0,3
after_final_fill,seller_historical_late_rate,float64,0,0.0,18431
after_final_fill,route_historical_late_rate,float64,0,0.0,77047
after_final_fill,category_historical_late_rate,float64,0,0.0,75424
after_final_fill,seller_historical_low_review_rate,float64,0,0.0,20546
after_final_fill,seller_prior_order_item_count,int64,0,0.0,2033
after_final_fill,product_prior_order_item_count,int64,0,0.0,527
after_final_fill,category_prior_order_item_count,int64,0,0.0,11115
after_final_fill,route_prior_order_item_count,int64,0,0.0,36192
after_final_fill,category_daily_order_items,int64,0,0.0,69
after_final_fill,category_daily_unique_orders,int64,0,0.0,62
after_final_fill,category_daily_unique_sellers,int64,0,0.0,37
after_final_fill,category_demand_roll_mean_7,float64,0,0.0,323
after_final_fill,category_demand_roll_std_7,float64,0,0.0,8305
after_final_fill,category_demand_roll_mean_14,float64,0,0.0,610
after_final_fill,category_demand_roll_std_14,float64,0,0.0,10404
after_final_fill,delivery_delay_component,float64,0,0.0,6372
after_final_fill,order_status_component,float64,0,0.0,3
after_final_fill,review_service_component,float64,0,0.0,12
after_final_fill,freight_cost_component,float64,0,0.0,100177
after_final_fill,seller_historical_delay_component,float64,0,0.0,18431
after_final_fill,route_historical_delay_component,float64,0,0.0,77047
after_final_fill,category_demand_volatility_component,float64,0,0.0,107004
after_final_fill,payment_complexity_component,float64,0,0.0,50
after_final_fill,dataset2_fulfillment_risk_score,float64,0,0.0,112650
after_final_fill,risk_label,int64,0,0.0,3
after_final_fill,risk_label_name,object,0,0.0,3
after_final_fill,temporal_split,object,0,0.0,3
