node_id,rgc_degree,rgc_weighted_degree,rgc_pagerank
seller::83e197e95a1bbabc8c75e883ed016c47,48.0,275.0,0.00014356112094705652
seller::2b1a40c1daabc6ca280c4b815c101841,36.0,160.0,9.79932931768339e-05
seller::aaed1309374718fdd995ee4c58c9dfcd,85.0,525.0,0.00029724998835721364
seller::d4d99b60c4c94cd35acd502cec65dc8d,5.0,5.0,9.39819519506574e-06
seller::7a073a40a9d3f1fee8bc45670ea1e909,5.0,5.0,9.448834130241937e-06
seller::11305281b50fff20ae8bb473f8e11876,38.0,160.0,9.149411758320649e-05
seller::0cbcee27c791afa0cdcb08587a2013a8,26.0,140.0,7.270973707711124e-05
seller::7008613ea464bad5cb9b83456e1e6a8f,50.0,750.0,0.00032246617572475483
seller::ae9690c6e8fee182c28c9ff8e11ca52c,5.0,5.0,9.388307489931048e-06
seller::c43d924a0f1688ee9fae0efcd6f539d4,5.0,5.0,9.389684801056597e-06
seller::fa40cc5b934574b62717c68f3d678b6d,64.0,1615.0,0.0006161646492136119
seller::a36b125ac6d5fdbc7f50de85c9157bdc,28.0,125.0,6.788106094835751e-05
seller::2199e7fe213c16213bf5d6a7eadc9a5d,32.0,125.0,7.322762976923354e-05
seller::de66a66f2dd06bb9ec37aa96987466a3,13.0,40.0,2.4012146227541333e-05
seller::fa5fdc4e4bb6bd1009ad0e4ac4096562,5.0,5.0,9.515616023466764e-06
seller::5bba18b40e8c973b0f32e748004775b0,5.0,5.0,9.38642297270854e-06
seller::9c3c24eca51c52b91c1de727d2a2ae06,14.0,25.0,2.0728475572846497e-05
seller::80e6699fe29150b372a0c8a1ebf7dcc8,71.0,470.0,0.00023352787369324354
seller::56642bcb79900e777d68e91915cb4267,34.0,250.0,0.00010600162007423414
seller::4e922959ae960d389249c378d1c939f5,186.0,2040.0,0.0009212559294868895
seller::0307f7565ff85b299b6e5ef162b1b1a9,20.0,35.0,2.8322049030797747e-05
seller::48efc9d94a9834137efd9ea76b065a38,32.0,170.0,0.00010170299188776353
seller::8f119a0aee85c0c8fc534629734e94fd,52.0,300.0,0.0001477035562522824
seller::b76dba6c951ab00dc4edf0a1aa88037e,64.0,675.0,0.00029457387707987104
seller::ccc4bbb5f32a6ab2b7066a4130f114e3,59.0,725.0,0.0002913914908887081
seller::054694fa03fe82cec4b7551487331d74,36.0,110.0,7.06174949138338e-05
seller::fa1c13f2614d7b5c4749cbc52fecda94,262.0,2130.0,0.0010848853224998992
seller::4a3ca9315b744ce9f8e9374361493884,407.0,8130.0,0.0034672855353889797
seller::1b8b75e227c9a9c100d0c210fb6176ce,34.0,95.0,6.675377658297755e-05
seller::392e0502231ae2f8b29994ef6398cd77,25.0,95.0,5.78314526417437e-05
seller::d66c305afaec317ebee552073a674429,57.0,235.0,0.00013330891633717452
seller::dbb9b48c841a0e39e21f98e1a6b2ec3e,94.0,550.0,0.000297604988048432
seller::75d34ebb1bd0bd7dde40dd507b8169c3,57.0,360.0,0.0001717192417901349
seller::e2aee0892199b1d92530e371abd825bf,33.0,175.0,8.961843866923847e-05
seller::54a1852d1b8f10312c55e906355666ee,87.0,740.0,0.00034110207658480607
seller::9de4643a8dbde634fe55621059d92273,34.0,405.0,0.00016921131668480374
seller::2a1348e9addc1af5aaa619b1a3679d6b,67.0,250.0,0.0001482854238131604
seller::4da0e408c99d2fdc2126dc9fce518060,47.0,220.0,0.00013153165843843715
seller::3d39fbf22a665714baf62fae36029e23,17.0,40.0,2.68830600830043e-05
seller::5b664594895aefb418afaee6d40a9a23,15.0,90.0,4.636397184127509e-05
seller::dc317f341ab0e22f39acbd9dbf9b4a1f,27.0,285.0,0.00012313747931589082
seller::e3b4998c7a498169dc7bce44e6bb6277,11.0,15.0,1.6307525182137563e-05
seller::5cf13accae3222c70a9cac40818ae839,50.0,455.0,0.00021819143210951986
seller::f235413f677777a0738ff215d0184901,10.0,15.0,1.4980527601713629e-05
seller::5f1dc28029d2c244352a68107ec2b542,71.0,320.0,0.00017748118427262936
seller::725c32fa80c2faacc4fc88450d27314e,64.0,395.0,0.00019731122302929342
seller::6edacfd9f9074789dad6d62ba7950b9c,160.0,885.0,0.0005248697299312838
seller::70a12e78e608ac31179aea7f8422044b,173.0,1560.0,0.0007367662587530252
seller::2be17df1c49978426251562096c3cc09,26.0,75.0,5.0520159871602065e-05
